"","age","price","bedrooms","bathrooms","bathroom_to_bedroom_ratio","floors","waterfront","view","condition","grade","yr_renovated","sqft_living15","sqft_lot15","sqft_above","sqft_basement"
"1","Moderately Old","Cheap","3","1","Less than adequate","1","No","No view","Decent","Decent","Not renovated","Very small","Small","Small","No basement"
"2","Moderately Old","Premium","3","2","Adequate","2","No","No view","Decent","Decent","Renovated","Small","Average","Large","Very Small"
"3","Old","Cheap","2","1","Less than adequate","1","No","No view","Decent","Poor","Not renovated","Very large","Average","Very small","No basement"
"4","Average","Premium","4","3","Adequate","1","No","No view","Excellent","Decent","Not renovated","Very small","Small","Very small","Large"
"5","Moderately New","Expensive","3","2","Adequate","1","No","No view","Decent","Decent","Not renovated","Average","Average","Average","No basement"
"6","New","Ultra premium","4","5","More than adequate","1","No","No view","Decent","Good","Not renovated","Very large","Very large","Very large","Small"
"7","Moderately New","Cheap","3","2","Adequate","2","No","No view","Decent","Decent","Not renovated","Large","Average","Average","No basement"
"8","Moderately Old","Cheap","3","2","Adequate","1","No","No view","Decent","Decent","Not renovated","Small","Large","Very small","No basement"
"9","Moderately Old","Cheap","3","1","Less than adequate","1","No","No view","Decent","Decent","Not renovated","Average","Average","Very small","Medium"
"10","New","Affordable","3","3","Adequate","2","No","No view","Decent","Decent","Not renovated","Large","Average","Large","No basement"
"11","Average","Premium","3","3","Adequate","1","No","No view","Decent","Decent","Not renovated","Large","Large","Very small","Very large"
"12","Old","Expensive","2","1","Less than adequate","1","No","No view","Good","Decent","Not renovated","Very small","Small","Very small","Small"
"13","Old","Affordable","3","1","Less than adequate","1","No","No view","Good","Decent","Not renovated","Average","Very large","Average","No basement"
"14","Average","Expensive","3","2","Adequate","1","No","No view","Good","Decent","Not renovated","Very small","Large","Small","No basement"
"15","Very Old","Premium","5","2","Less than adequate","1","No","No view","Decent","Decent","Not renovated","Very small","Small","Large","No basement"
"16","Average","Premium","4","3","Adequate","2","No","Multiple views","Decent","Decent","Not renovated","Large","Very small","Large","Small"
"17","Moderately New","Affordable","3","2","Adequate","2","No","No view","Decent","Decent","Not renovated","Average","Very large","Large","No basement"
"18","Old","Expensive","4","1","Less than adequate","1","No","No view","Good","Decent","Not renovated","Small","Very small","Large","No basement"
"19","Old","Cheap","2","1","Less than adequate","1","No","No view","Good","Decent","Not renovated","Very small","Small","Small","No basement"
"20","Average","Cheap","3","1","Less than adequate","1","No","No view","Good","Decent","Not renovated","Very small","Large","Small","No basement"
"21","Moderately Old","Affordable","4","2","Less than adequate","1","No","No view","Good","Decent","Not renovated","Very small","Small","Very small","Large"
"22","Average","Ultra premium","3","3","Adequate","1","No","Multiple views","Decent","Decent","Not renovated","Very large","Very large","Large","Small"
"23","Moderately New","Cheap","5","3","Adequate","2","No","No view","Decent","Decent","Not renovated","Large","Average","Large","No basement"
"24","Moderately New","Cheap","2","2","Adequate","1","No","No view","Decent","Decent","Not renovated","Very small","Large","Very small","No basement"
"25","Moderately New","Affordable","3","2","Adequate","2","No","No view","Good","Decent","Not renovated","Large","Average","Very large","No basement"
"26","Old","Cheap","3","2","Adequate","1","No","No view","Excellent","Poor","Not renovated","Very small","Very small","Average","No basement"
"27","Old","Ultra premium","3","2","Adequate","2","No","No view","Decent","Decent","Not renovated","Average","Very small","Average","Small"
"28","Old","Premium","3","1","Less than adequate","1","No","No view","Excellent","Decent","Not renovated","Average","Very small","Small","No basement"
"29","Moderately Old","Expensive","3","2","Adequate","1","No","No view","Decent","Decent","Not renovated","Small","Small","Very small","Large"
"30","New","Ultra premium","4","3","Adequate","2","No","No view","Decent","Decent","Not renovated","Very large","Small","Very large","No basement"
"31","New","Premium","3","3","Adequate","2","No","No view","Decent","Decent","Not renovated","Very large","Very small","Large","No basement"
"32","New","Cheap","2","2","Adequate","3","No","No view","Decent","Decent","Not renovated","Very small","Very small","Small","No basement"
"33","Old","Premium","4","2","Less than adequate","1","No","No view","Good","Decent","Not renovated","Small","Small","Average","Medium"
"34","Old","Premium","3","1","Less than adequate","1","No","No view","Good","Decent","Not renovated","Small","Small","Very small","No basement"
"35","Average","Affordable","4","3","Adequate","1","No","No view","Decent","Decent","Not renovated","Average","Large","Small","Medium"
"36","Old","Premium","3","3","Adequate","1","No","No view","Decent","Decent","Renovated","Small","Very small","Average","Medium"
"37","Old","Premium","4","1","Less than adequate","1","No","No view","Very Poor","Poor","Not renovated","Large","Very large","Very small","Large"
"38","Old","Premium","4","2","Less than adequate","2","No","No view","Good","Decent","Not renovated","Average","Very small","Large","No basement"
"39","Average","Cheap","4","1","Less than adequate","1","No","No view","Poor","Decent","Not renovated","Very small","Average","Very small","Small"
"40","Moderately New","Premium","4","3","Adequate","2","No","No view","Decent","Decent","Not renovated","Very large","Very large","Very large","No basement"
"41","Moderately New","Premium","4","3","Adequate","2","No","No view","Decent","Decent","Not renovated","Large","Small","Very large","No basement"
"42","Moderately New","Ultra premium","4","2","Less than adequate","1","No","No view","Decent","Decent","Not renovated","Large","Very large","Very large","Medium"
"43","New","Ultra premium","5","3","Adequate","2","No","No view","Decent","Decent","Not renovated","Very large","Small","Very large","No basement"
"44","Old","Premium","3","1","Less than adequate","2","No","No view","Decent","Decent","Not renovated","Small","Very small","Average","No basement"
"45","Moderately Old","Affordable","3","1","Less than adequate","1","No","No view","Good","Poor","Not renovated","Very small","Large","Very small","Small"
"46","New","Expensive","3","3","Adequate","2","No","No view","Decent","Decent","Not renovated","Very large","Large","Very large","No basement"
"47","Average","Cheap","3","1","Less than adequate","1","No","No view","Decent","Poor","Not renovated","Very small","Large","Very small","No basement"
"48","Average","Ultra premium","4","3","Adequate","2","No","No view","Good","Decent","Not renovated","Very large","Very large","Large","No basement"
"49","Moderately Old","Expensive","3","2","Adequate","1","No","No view","Good","Decent","Not renovated","Very small","Small","Small","No basement"
"50","Moderately Old","Ultra premium","3","3","Adequate","1","Yes","Multiple views","Excellent","Decent","Not renovated","Very large","Very large","Large","Small"
"51","Moderately Old","Cheap","3","1","Less than adequate","1","No","No view","Decent","Decent","Not renovated","Very small","Large","Small","No basement"
"52","Average","Affordable","5","3","Adequate","1","No","No view","Good","Decent","Not renovated","Average","Large","Average","Large"
"53","Moderately Old","Premium","3","2","Adequate","1","No","No view","Good","Decent","Not renovated","Very small","Very small","Very small","Small"
"54","Average","Premium","2","2","Adequate","1","No","No view","Decent","Decent","Not renovated","Small","Small","Very small","Large"
"55","Old","Ultra premium","5","2","Less than adequate","1","No","No view","Decent","Decent","Not renovated","Very large","Small","Large","Small"
"56","Moderately New","Ultra premium","4","3","Adequate","2","No","No view","Decent","Decent","Not renovated","Average","Small","Very large","No basement"
"57","New","Cheap","4","3","Adequate","2","No","No view","Decent","Decent","Not renovated","Large","Very small","Large","No basement"
"58","New","Affordable","3","3","Adequate","2","No","No view","Decent","Decent","Not renovated","Very large","Very small","Very large","No basement"
"59","Average","Ultra premium","5","3","Adequate","2","No","Multiple views","Good","Decent","Not renovated","Very large","Large","Very large","No basement"
"60","Moderately New","Expensive","4","3","Adequate","2","No","No view","Decent","Decent","Not renovated","Large","Large","Large","No basement"
"61","Moderately Old","Premium","3","2","Adequate","1","No","Multiple views","Good","Decent","Not renovated","Very large","Very large","Average","Small"
"62","Moderately Old","Cheap","3","2","Adequate","1","No","No view","Decent","Decent","Not renovated","Very small","Large","Small","No basement"
"63","Average","Expensive","3","2","Adequate","2","No","No view","Excellent","Decent","Not renovated","Large","Large","Very large","No basement"
"64","New","Premium","3","2","Adequate","3","No","No view","Decent","Decent","Not renovated","Small","Very small","Average","No basement"
"65","Average","Expensive","3","2","Adequate","1","No","No view","Decent","Decent","Not renovated","Small","Very small","Very small","Small"
"66","Old","Affordable","3","3","Adequate","1","No","No view","Excellent","Decent","Not renovated","Small","Very small","Large","Medium"
"67","Moderately New","Ultra premium","4","3","Adequate","2","No","No view","Decent","Good","Not renovated","Very large","Large","Very large","No basement"
"68","New","Cheap","4","3","Adequate","2","No","No view","Decent","Decent","Not renovated","Large","Very small","Large","No basement"
"69","Average","Cheap","3","1","Less than adequate","1","No","No view","Good","Decent","Not renovated","Very small","Very large","Very small","No basement"
"70","Average","Ultra premium","5","2","Less than adequate","1","No","No view","Decent","Decent","Not renovated","Very large","Very large","Average","Large"
"71","Average","Ultra premium","5","3","Adequate","1","No","No view","Good","Good","Not renovated","Very large","Very large","Very large","Medium"
"72","Average","Affordable","3","2","Adequate","1","No","No view","Good","Decent","Not renovated","Small","Very small","Small","No basement"
