"","customer_id","segment","rfm_score","transaction_count","recency_days","amount","recency_score","frequency_score","monetary_score"
"1",22086,"Require Assistance",344,9,232,777,3,4,4
"2",2290,"Loyal",810,16,115,1555,7,10,10
"3",26377,"New Ones",1011,5,43,336,10,1,1
"4",24650,"Loyal",988,12,64,1189,9,8,8
"5",12883,"Loyal",1089,12,23,1229,10,8,9
"6",2119,"Likely to be Loyal",976,11,72,929,9,7,6
"7",31283,"Loyal",810,17,112,1569,7,10,10
"8",33815,"New Ones",674,11,142,778,6,7,4
"9",15972,"New Ones",1043,9,43,641,10,4,3
"10",27650,"Likely to be Loyal",656,10,131,970,6,5,6
"11",4168,"Require Assistance",243,9,266,730,2,4,3
"12",23375,"Require Assistance",244,9,371,798,2,4,4
"13",7460,"Likely to be Loyal",856,10,96,980,8,5,6
"14",31412,"Can't Lose Them",600,14,170,1596,5,9,10
"15",4298,"Can't Lose Them",298,13,333,1105,2,9,8
"16",11217,"New Ones",623,7,126,673,6,2,3
"17",27435,"New Ones",1024,7,18,793,10,2,4
"18",22756,"Require Assistance",333,8,246,652,3,3,3
"19",14737,"Likely to be Loyal",687,12,133,1081,6,8,7
"20",38027,"Require Assistance",433,8,181,712,4,3,3
"21",35527,"Likely to be Loyal",577,11,161,1060,5,7,7
"22",21182,"Require Assistance",544,9,152,790,5,4,4
"23",35926,"Can't Lose Them",399,13,231,1248,3,9,9
"24",2091,"Require Assistance",244,9,284,789,2,4,4
"25",16555,"Require Assistance",534,8,156,794,5,3,4
"26",7868,"New Ones",853,10,101,700,8,5,3
"27",16526,"Likely to be Loyal",555,10,150,855,5,5,5
"28",12370,"Getting Less Frequent",414,6,201,793,4,1,4
"29",32863,"New Ones",774,11,124,793,7,7,4
"30",11206,"Likely to be Loyal",598,14,154,1220,5,9,8
"31",16677,"Almost Out",111,5,422,220,1,1,1
"32",2718,"Loyal",910,16,78,1633,8,10,10
"33",35549,"Require Assistance",544,9,152,812,5,4,4
"34",39729,"Likely to be Loyal",859,10,77,1231,8,5,9
"35",16563,"Loyal",909,16,78,1380,8,10,9
"36",14317,"New Ones",846,9,81,918,8,4,6
"37",27557,"Require Assistance",456,10,208,981,4,5,6
"38",16094,"Require Assistance",122,7,410,631,1,2,2
"39",10725,"Getting Less Frequent",112,6,538,537,1,1,2
"40",27531,"First Grade",1110,18,37,1804,10,10,10
"41",35774,"Require Assistance",146,9,455,994,1,4,6
"42",18357,"First Grade",1110,18,43,1561,10,10,10
"43",18377,"New Ones",642,9,138,562,6,4,2
"44",12558,"Require Assistance",455,10,197,909,4,5,5
"45",2036,"New Ones",1011,3,11,216,10,1,1
"46",15489,"Loyal",778,11,117,1185,7,7,8
"47",1811,"New Ones",746,9,109,978,7,4,6
"48",38345,"New Ones",644,9,139,794,6,4,4
"49",6116,"Require Assistance",221,7,274,450,2,2,1
"50",30839,"New Ones",1056,10,38,943,10,5,6
"51",17548,"Require Assistance",533,8,164,691,5,3,3
"52",31140,"Likely to be Loyal",758,10,124,1143,7,5,8
"53",9338,"Almost Out",211,3,284,309,2,1,1
"54",5437,"Likely to be Loyal",698,14,136,1154,6,9,8
"55",38672,"Likely to be Loyal",755,10,108,859,7,5,5
"56",6662,"Likely to be Loyal",559,10,168,1388,5,5,9
"57",32799,"Getting Less Frequent",113,6,509,724,1,1,3
"58",23565,"Can't Lose Them",239,8,278,1240,2,3,9
"59",17474,"Can't Lose Them",179,11,398,1256,1,7,9
"60",20635,"Likely to be Loyal",856,10,87,922,8,5,6
"61",2057,"New Ones",1076,11,10,921,10,7,6
"62",10176,"Others",511,5,165,370,5,1,1
"63",7409,"Require Assistance",223,7,316,693,2,2,3
"64",36111,"Loyal",1097,13,22,1068,10,9,7
"65",16700,"Loyal",778,11,118,1138,7,7,8
"66",6203,"Require Assistance",321,7,249,394,3,2,1
"67",4641,"Others",609,17,176,1370,5,10,9
"68",38766,"Can't Lose Them",289,12,370,1378,2,8,9
"69",39138,"Can't Lose Them",400,14,264,1460,3,9,10
"70",23711,"Can't Lose Them",278,11,290,1146,2,7,8
"71",29815,"First Grade",1100,14,35,1505,10,9,10
"72",1552,"Require Assistance",443,9,203,682,4,4,3
"73",14070,"New Ones",1057,10,39,1023,10,5,7
"74",11698,"Getting Less Frequent",212,5,359,554,2,1,2
"75",2837,"Loyal",978,11,65,1117,9,7,8
"76",15039,"New Ones",745,9,109,891,7,4,5
"77",35252,"Can't Lose Them",288,12,377,1131,2,8,8
"78",7414,"Loyal",910,18,97,2031,8,10,10
"79",36920,"Loyal",1077,11,12,1098,10,7,7
"80",2094,"New Ones",1056,10,34,940,10,5,6
"81",1027,"Likely to be Loyal",756,10,121,951,7,5,6
"82",19104,"Require Assistance",144,9,456,739,1,4,4
"83",22573,"First Grade",1010,15,68,1489,9,10,10
"84",16910,"Require Assistance",346,9,218,982,3,4,6
"85",28412,"Likely to be Loyal",557,10,176,1045,5,5,7
"86",7025,"Loyal",1077,11,42,1089,10,7,7
"87",25933,"Likely to be Loyal",886,12,99,973,8,8,6
"88",13586,"New Ones",674,11,133,812,6,7,4
"89",18695,"New Ones",847,9,100,1007,8,4,7
"90",22278,"Loyal",877,11,94,1093,8,7,7
"91",25897,"Likely to be Loyal",586,12,164,935,5,8,6
"92",17131,"Almost Out",111,4,779,497,1,1,1
"93",33971,"Require Assistance",542,9,156,541,5,4,2
"94",9920,"First Grade",1010,15,54,1860,9,10,10
"95",34568,"Likely to be Loyal",758,10,123,1121,7,5,8
"96",26537,"Getting Less Frequent",377,11,225,1078,3,7,7
"97",9016,"Require Assistance",334,8,224,777,3,3,4
"98",39972,"Loyal",889,12,98,1236,8,8,9
"99",31644,"Loyal",899,13,95,1388,8,9,9
"100",3626,"New Ones",912,5,59,613,9,1,2
"101",22867,"New Ones",845,9,77,847,8,4,5
"102",26253,"Getting Less Frequent",212,5,277,549,2,1,2
"103",14938,"New Ones",946,9,56,968,9,4,6
"104",30444,"Likely to be Loyal",556,10,164,980,5,5,6
"105",26680,"New Ones",934,8,73,779,9,3,4
"106",18260,"New Ones",613,6,127,719,6,1,3
"107",31835,"Require Assistance",446,9,192,958,4,4,6
"108",28602,"Almost Out",211,5,324,261,2,1,1
"109",38433,"Others",710,16,133,1652,6,10,10
"110",33465,"Require Assistance",155,10,425,902,1,5,5
"111",22188,"New Ones",943,9,74,735,9,4,3
"112",21572,"Getting Less Frequent",312,3,262,544,3,1,2
"113",18108,"Getting Less Frequent",314,6,212,777,3,1,4
"114",29137,"Require Assistance",123,7,515,707,1,2,3
"115",30644,"Require Assistance",334,8,234,807,3,3,4
"116",15440,"Getting Less Frequent",347,9,220,1028,3,4,7
"117",21382,"Others",410,17,236,1789,3,10,10
"118",269,"Loyal",899,13,83,1339,8,9,9
"119",3324,"Require Assistance",255,10,316,867,2,5,5
"120",13234,"Likely to be Loyal",955,10,67,907,9,5,5
"121",18608,"Can't Lose Them",499,14,180,1277,4,9,9
"122",2327,"Likely to be Loyal",756,10,103,996,7,5,6
"123",20670,"Require Assistance",224,7,310,770,2,2,4
"124",9105,"Require Assistance",244,9,292,803,2,4,4
"125",19342,"New Ones",1084,12,39,805,10,8,4
"126",31640,"Require Assistance",146,9,421,924,1,4,6
"127",36454,"Require Assistance",222,7,290,538,2,2,2
"128",38816,"Require Assistance",544,9,154,814,5,4,4
"129",19635,"Likely to be Loyal",685,12,139,891,6,8,5
"130",31330,"Loyal",897,14,78,1072,8,9,7
"131",8077,"First Grade",1009,15,54,1328,9,10,9
"132",27347,"Require Assistance",123,7,433,717,1,2,3
"133",35369,"Loyal",910,19,98,1972,8,10,10
"134",14603,"Require Assistance",423,7,208,696,4,2,3
"135",14486,"Loyal",890,12,90,1482,8,8,10
"136",8631,"New Ones",654,10,136,809,6,5,4
"137",32709,"Can't Lose Them",178,11,395,1172,1,7,8
"138",305,"Likely to be Loyal",855,10,94,873,8,5,5
"139",20591,"Getting Less Frequent",475,11,194,880,4,7,5
"140",1335,"Likely to be Loyal",676,11,128,957,6,7,6
"141",7068,"Others",509,16,177,1286,4,10,9
"142",35342,"First Grade",1099,14,30,1267,10,9,9
"143",3357,"Loyal",789,12,121,1276,7,8,9
"144",16912,"Loyal",900,14,86,1636,8,9,10
"145",2568,"Likely to be Loyal",559,10,160,1296,5,5,9
"146",6229,"Require Assistance",232,8,295,531,2,3,2
"147",25323,"Can't Lose Them",479,11,199,1269,4,7,9
"148",13459,"Require Assistance",425,7,209,854,4,2,5
"149",7870,"New Ones",923,7,72,690,9,2,3
"150",29419,"Likely to be Loyal",689,12,129,1365,6,8,9
"151",8468,"First Grade",1000,14,55,1558,9,9,10
"152",36430,"Almost Out",111,3,784,286,1,1,1
"153",34120,"Others",710,15,146,1504,6,10,10
"154",8391,"New Ones",1035,8,40,840,10,3,5
"155",9873,"Loyal",978,11,66,1170,9,7,8
"156",27524,"New Ones",612,4,149,539,6,1,2
"157",3031,"First Grade",1110,18,25,1802,10,10,10
"158",30183,"Require Assistance",123,7,399,699,1,2,3
"159",31579,"New Ones",834,8,79,797,8,3,4
"160",25670,"New Ones",912,6,69,611,9,1,2
"161",19918,"Getting Less Frequent",413,6,184,645,4,1,3
"162",7615,"Others",710,16,147,1477,6,10,10
"163",3256,"Almost Out",111,1,946,11,1,1,1
"164",1767,"Require Assistance",533,8,167,662,5,3,3
"165",8721,"Loyal",878,11,78,1111,8,7,8
"166",11279,"Require Assistance",342,9,258,608,3,4,2
"167",33656,"Getting Less Frequent",112,4,545,571,1,1,2
"168",9346,"New Ones",1011,6,29,243,10,1,1
"169",13446,"Almost Out",111,5,440,406,1,1,1
"170",29811,"Likely to be Loyal",679,11,133,1231,6,7,9
"171",17234,"Can't Lose Them",299,14,378,1378,2,9,9
"172",35229,"New Ones",1052,10,3,635,10,5,2
"173",19451,"New Ones",754,10,113,760,7,5,4
"174",722,"Others",710,16,136,1586,6,10,10
"175",6787,"Require Assistance",532,8,151,626,5,3,2
"176",32140,"Require Assistance",543,9,171,709,5,4,3
"177",8422,"New Ones",1075,11,3,865,10,7,5
"178",14498,"Loyal",997,13,53,1024,9,9,7
"179",33155,"Getting Less Frequent",347,9,247,1030,3,4,7
"180",19798,"Others",409,16,263,1384,3,10,9
"181",16692,"Can't Lose Them",600,13,172,1746,5,9,10
"182",11378,"Getting Less Frequent",312,6,229,597,3,1,2
"183",28246,"New Ones",1045,9,36,893,10,4,5
"184",37743,"Can't Lose Them",499,13,202,1228,4,9,9
"185",35359,"Loyal",898,14,98,1103,8,9,8
"186",15429,"Can't Lose Them",378,11,214,1121,3,7,8
"187",22652,"Others",709,15,143,1319,6,10,9
"188",27115,"Getting Less Frequent",312,5,241,601,3,1,2
"189",5219,"Require Assistance",441,9,184,482,4,4,1
"190",29602,"New Ones",823,7,85,665,8,2,3
"191",9847,"Others",513,6,156,667,5,1,3
"192",39067,"Likely to be Loyal",975,11,54,904,9,7,5
"193",22172,"Likely to be Loyal",955,10,74,898,9,5,5
"194",5151,"Likely to be Loyal",587,12,160,1064,5,8,7
"195",34388,"New Ones",1023,7,37,644,10,2,3
"196",35476,"New Ones",811,6,93,406,8,1,1
"197",26036,"New Ones",746,9,102,969,7,4,6
"198",27266,"Can't Lose Them",389,12,211,1359,3,8,9
"199",33933,"Require Assistance",443,9,203,717,4,4,3
"200",15808,"Almost Out",111,2,636,143,1,1,1
"201",24956,"First Grade",999,13,67,1356,9,9,9
"202",37891,"Can't Lose Them",479,11,193,1248,4,7,9
"203",14730,"Require Assistance",523,7,166,658,5,2,3
"204",15596,"New Ones",1074,11,29,775,10,7,4
"205",22757,"Require Assistance",245,9,326,861,2,4,5
"206",12960,"New Ones",811,6,80,461,8,1,1
"207",17190,"Can't Lose Them",399,13,229,1287,3,9,9
"208",7393,"Require Assistance",322,7,244,527,3,2,2
"209",27507,"First Grade",999,13,68,1259,9,9,9
"210",38046,"Require Assistance",455,10,201,912,4,5,5
"211",28789,"Loyal",900,13,83,1508,8,9,10
"212",33551,"Require Assistance",144,9,447,807,1,4,4
"213",21616,"New Ones",906,16,87,995,8,10,6
"214",38869,"Can't Lose Them",500,13,177,1436,4,9,10
"215",7757,"Loyal",877,11,95,1095,8,7,7
"216",20083,"Loyal",898,14,87,1128,8,9,8
"217",4697,"Almost Out",111,3,398,224,1,1,1
"218",19776,"Loyal",797,13,121,1073,7,9,7
"219",16705,"Others",610,16,173,1439,5,10,10
"220",22004,"Can't Lose Them",280,11,354,1454,2,7,10
"221",10972,"Likely to be Loyal",857,10,97,1071,8,5,7
"222",5936,"Likely to be Loyal",578,11,174,1118,5,7,8
"223",2521,"Likely to be Loyal",759,10,124,1262,7,5,9
"224",31716,"Can't Lose Them",459,10,187,1314,4,5,9
"225",22410,"New Ones",711,5,114,492,7,1,1
"226",37614,"Likely to be Loyal",699,14,135,1372,6,9,9
"227",177,"Require Assistance",221,7,357,457,2,2,1
"228",31226,"Almost Out",111,3,512,118,1,1,1
"229",396,"Require Assistance",532,8,151,626,5,3,2
"230",10584,"Can't Lose Them",458,10,201,1209,4,5,8
"231",24522,"New Ones",1032,8,25,578,10,3,2
"232",20085,"Likely to be Loyal",985,12,71,886,9,8,5
"233",18122,"Getting Less Frequent",112,5,471,559,1,1,2
"234",10914,"New Ones",625,7,132,844,6,2,5
"235",31578,"Others",310,17,327,1703,2,10,10
