"","customer_id","recency_days","transaction_count","amount","recency_score","frequency_score","monetary_score","rfm_score"
"1",22086,232,9,777,3,4,4,344
"2",2290,115,16,1555,7,10,10,810
"3",26377,43,5,336,10,1,1,1011
"4",24650,64,12,1189,9,8,8,988
"5",12883,23,12,1229,10,8,9,1089
"6",2119,72,11,929,9,7,6,976
"7",31283,112,17,1569,7,10,10,810
"8",33815,142,11,778,6,7,4,674
"9",15972,43,9,641,10,4,3,1043
"10",27650,131,10,970,6,5,6,656
"11",4168,266,9,730,2,4,3,243
"12",23375,371,9,798,2,4,4,244
"13",7460,96,10,980,8,5,6,856
"14",31412,170,14,1596,5,9,10,600
"15",4298,333,13,1105,2,9,8,298
"16",11217,126,7,673,6,2,3,623
"17",27435,18,7,793,10,2,4,1024
"18",22756,246,8,652,3,3,3,333
"19",14737,133,12,1081,6,8,7,687
"20",38027,181,8,712,4,3,3,433
"21",35527,161,11,1060,5,7,7,577
"22",21182,152,9,790,5,4,4,544
"23",35926,231,13,1248,3,9,9,399
"24",2091,284,9,789,2,4,4,244
"25",16555,156,8,794,5,3,4,534
"26",7868,101,10,700,8,5,3,853
"27",16526,150,10,855,5,5,5,555
"28",12370,201,6,793,4,1,4,414
"29",32863,124,11,793,7,7,4,774
"30",11206,154,14,1220,5,9,8,598
"31",16677,422,5,220,1,1,1,111
"32",2718,78,16,1633,8,10,10,910
"33",35549,152,9,812,5,4,4,544
"34",39729,77,10,1231,8,5,9,859
"35",16563,78,16,1380,8,10,9,909
"36",14317,81,9,918,8,4,6,846
"37",27557,208,10,981,4,5,6,456
"38",16094,410,7,631,1,2,2,122
"39",10725,538,6,537,1,1,2,112
"40",27531,37,18,1804,10,10,10,1110
"41",35774,455,9,994,1,4,6,146
"42",18357,43,18,1561,10,10,10,1110
"43",18377,138,9,562,6,4,2,642
"44",12558,197,10,909,4,5,5,455
"45",2036,11,3,216,10,1,1,1011
"46",15489,117,11,1185,7,7,8,778
"47",1811,109,9,978,7,4,6,746
"48",38345,139,9,794,6,4,4,644
"49",6116,274,7,450,2,2,1,221
"50",30839,38,10,943,10,5,6,1056
"51",17548,164,8,691,5,3,3,533
"52",31140,124,10,1143,7,5,8,758
"53",9338,284,3,309,2,1,1,211
"54",5437,136,14,1154,6,9,8,698
"55",38672,108,10,859,7,5,5,755
"56",6662,168,10,1388,5,5,9,559
"57",32799,509,6,724,1,1,3,113
"58",23565,278,8,1240,2,3,9,239
"59",17474,398,11,1256,1,7,9,179
"60",20635,87,10,922,8,5,6,856
"61",2057,10,11,921,10,7,6,1076
"62",10176,165,5,370,5,1,1,511
"63",7409,316,7,693,2,2,3,223
"64",36111,22,13,1068,10,9,7,1097
"65",16700,118,11,1138,7,7,8,778
"66",6203,249,7,394,3,2,1,321
"67",4641,176,17,1370,5,10,9,609
"68",38766,370,12,1378,2,8,9,289
"69",39138,264,14,1460,3,9,10,400
"70",23711,290,11,1146,2,7,8,278
"71",29815,35,14,1505,10,9,10,1100
"72",1552,203,9,682,4,4,3,443
"73",14070,39,10,1023,10,5,7,1057
"74",11698,359,5,554,2,1,2,212
"75",2837,65,11,1117,9,7,8,978
"76",15039,109,9,891,7,4,5,745
"77",35252,377,12,1131,2,8,8,288
"78",7414,97,18,2031,8,10,10,910
"79",36920,12,11,1098,10,7,7,1077
"80",2094,34,10,940,10,5,6,1056
"81",1027,121,10,951,7,5,6,756
"82",19104,456,9,739,1,4,4,144
"83",22573,68,15,1489,9,10,10,1010
"84",16910,218,9,982,3,4,6,346
"85",28412,176,10,1045,5,5,7,557
"86",7025,42,11,1089,10,7,7,1077
"87",25933,99,12,973,8,8,6,886
"88",13586,133,11,812,6,7,4,674
"89",18695,100,9,1007,8,4,7,847
"90",22278,94,11,1093,8,7,7,877
"91",25897,164,12,935,5,8,6,586
"92",17131,779,4,497,1,1,1,111
"93",33971,156,9,541,5,4,2,542
